File Name:,10Km Dunshaughlin.gpx

Split:,Avg Speed(km/h),Pace(m/Km),Elevation(m)
01,12.67,4:44,6.09
02,11.14,5:23,-6.66
03,14.93,4:01,6.24
04,12.02,4:59,0.65
05,15.07,3:58,-0.61
06,15.09,3:58,0.19
07,6.50,9:13,6.68
08,8.73,6:52,-5.52
09,12.07,4:58,-6.54


Split:,Avg Speed(m/h),Pace(m/M),Elevation(m)
01,6.87,8:43,-2.26
02,9.52,6:18,12.80
03,8.16,7:21,-6.44
04,9.20,6:31,3.96
05,4.11,14:35,-1.20
06,7.69,7:48,-6.01
07,(P)6.82,(P)8:47,3.84


Total Distance(m):,9656.04
Time(secs):,3078.4276230721216
Avg Speed(km/h):,11.29
Avg Mile Pace(m/M):,8:33
Avg Km Pace(m/Km):,5:21
